index	name	lobe_index	lobe_name
1002	lh.caudalanteriorcingulate	11	lh.frontal
1003	lh.caudalmiddlefrontal	11	lh.frontal
1005	lh.cuneus	12	lh.occipital
1006	lh.entorhinal	13	lh.temporal
1007	lh.fusiform	13	lh.temporal
1008	lh.inferiorparietal	14	lh.parietal
1009	lh.inferiortemporal	13	lh.temporal
1010	lh.isthmuscingulate	14	lh.parietal
1011	lh.lateraloccipital	12	lh.occipital
1012	lh.lateralorbitofrontal	11	lh.frontal
1013	lh.lingual	12	lh.occipital
1014	lh.medialorbitofrontal	11	lh.frontal
1015	lh.middletemporal	13	lh.temporal
1016	lh.parahippocampal	13	lh.temporal
1017	lh.paracentral	14	lh.parietal
1018	lh.parsopercularis	11	lh.frontal
1019	lh.parsorbitalis	11	lh.frontal
1020	lh.parstriangularis	11	lh.frontal
1021	lh.pericalcarine	12	lh.occipital
1022	lh.postcentral	14	lh.parietal
1023	lh.posteriorcingulate	14	lh.parietal
1024	lh.precentral	11	lh.frontal
1025	lh.precuneus	14	lh.parietal
1026	lh.rostralanteriorcingulate	11	lh.frontal
1027	lh.rostralmiddlefrontal	11	lh.frontal
1028	lh.superiorfrontal	11	lh.frontal
1029	lh.superiorparietal	14	lh.parietal
1030	lh.superiortemporal	13	lh.temporal
1031	lh.supramarginal	14	lh.parietal
1034	lh.transversetemporal	13	lh.temporal
1035	lh.insula	11	lh.frontal
2002	rh.caudalanteriorcingulate	21	rh.frontal
2003	rh.caudalmiddlefrontal	21	rh.frontal
2005	rh.cuneus	22	rh.occipital
2006	rh.entorhinal	23	rh.temporal
2007	rh.fusiform	23	rh.temporal
2008	rh.inferiorparietal	24	rh.parietal
2009	rh.inferiortemporal	23	rh.temporal
2010	rh.isthmuscingulate	24	rh.parietal
2011	rh.lateraloccipital	22	rh.occipital
2012	rh.lateralorbitofrontal	21	rh.frontal
2013	rh.lingual	22	rh.occipital
2014	rh.medialorbitofrontal	21	rh.frontal
2015	rh.middletemporal	23	rh.temporal
2016	rh.parahippocampal	23	rh.temporal
2017	rh.paracentral	24	rh.parietal
2018	rh.parsopercularis	21	rh.frontal
2019	rh.parsorbitalis	21	rh.frontal
2020	rh.parstriangularis	21	rh.frontal
2021	rh.pericalcarine	22	rh.occipital
2022	rh.postcentral	24	rh.parietal
2023	rh.posteriorcingulate	24	rh.parietal
2024	rh.precentral	21	rh.frontal
2025	rh.precuneus	24	rh.parietal
2026	rh.rostralanteriorcingulate	21	rh.frontal
2027	rh.rostralmiddlefrontal	21	rh.frontal
2028	rh.superiorfrontal	21	rh.frontal
2029	rh.superiorparietal	24	rh.parietal
2030	rh.superiortemporal	23	rh.temporal
2031	rh.supramarginal	23	rh.temporal
2034	rh.transversetemporal	23	rh.temporal
2035	rh.insula	21	rh.frontal
